Lp.,Nazwa,Stan,Zasoby geologiczne bilansowe Razem,Zasoby geologiczne bilansowe A+B+C1,Zasoby wydobywalne bilansowe C2+D,Zasoby przemyslowe,Wydobycie
1,Chrobry,Z,40 730,"
25 402",15 328,-,-
2,Julia,Z,17 660,9 699,7 961,-,-
3,Nowa Ruda (p.Słupiec),Z,16 126,12 072,4 054,-,-
4,Nowa Ruda (rej.Lech),Z,32 097,18 464,13 633,-,-
5,Nowa Ruda (rej.Wacław),Z,83 886,"
48 748",35 138,-,-
6,Victoria,Z,123 254,48 638,74 616,-,-
7,Wałbrzych-Gaj,Z,"
45 967",10 300,35 667,-,-
1,Andaluzja,Z,"
4 683",4 440,243,-,-
2,Anna,E,22 440,15 920,6 520,2 778,147
3,Anna-Pole Południowe,R,37 558,20 534,17 024,-,-
4,Barbara-Chorzów,Z,50 980,7 571,43 409,-,-
5,Barbara-Chorzów 1,R,20 883,5 662,15 221,-,-
6,Bobrek-Miechowice,"
Z",156 065,125 015,31 050,-,-
7,Bobrek-Miechowice 1,R,38 464,38 464,-,-,-
8,Bolesław Śmiały,Z,402 985,102 656,300 329,-,-
9,"
Borynia",E,316 950,191 787,125 163,55 427,2 088
10,Brzeszcze,E,310 017,193 000,117 017,109 987,1 222
11,Brzezinka,R,131 381,123 594,7 787,-,-
12,Brzezinka - 2,R,413 235,356 305,56 930,-,-
13,"
Brzeziny",E,29 305,29 305,-,23 974,1 427
14,Budryk,E,840 760,258 496,582 264,43 251,2 557
15,Byczyna,E,83 324,67 781,15 543,27 393,990
16,Bytom I,Z,29 308,28 545,763,-,-
17,Bytom I-1,E,1 357,1 357,-,1 357,133
18,Bytom II,Z,47 576,44 718,2 858,-,-
19,"
Bytom II-1",E,20 651,11 200,9 451,7 279,32
20,Bytom III,E,76 859,76 859,-,20 065,1 172
21,Bzie-Dębina,R,106 262,37 589,68 673,-,-
23,Bzie-Dębina 1 - Zachód,R,358 086,280 714,77 372,-,-
24,Bzie-Dębina 2 - Zachód,B,323 000,239 426,83 574,"
51 850",1
25,Centrum,E,214 516,178 037,36 479,48 274,739
26,Centrum-Szombierki,Z,169 899,121 272,48 627,-,-
27,Chudów - Paniowy 1,E,9 500,7 032,"
2 468",346,234
28,Chwałowice,E,648 078,324 709,323 369,219 880,2 051
29,Czeczott,Z,535 950,478 524,57 426,-,-
30,Czeczott-pole zachód,Z,24 916,23 209,1 707,-,-
31,Czeczott-Wschód,R,434 914,332 884,102 030,-,-
32,Ćwiklice,R,499 332,195 777,"
303 555",-,-
33,Dankowice,R,115 684,80 633,35 051,-,-
34,Dębieńsko,Z,tylko pzb.,-,-,-,-
35,Dębieńsko 1,B,813 288,332 316,480 972,171 582,-
36,Dziećkowice,E,28 045,10 718,17 327,2 630,22
37,Gliwice,Z,19 358,"
6 740",12 618,-,-
38,Gołkowice,R,77 078,25 887,51 191,-,-
39,Grodziec,Z,34 430,28 353,6 077,-,-
40,Halemba,E,367 631,"
348 276",19 355,209 924,1 597
41,Halemba II,E,159 846,136 029,23 817,88 808,205
42,Imielin-Południe,B,"
196 785",12 511,184 274,6 273,-
43,Jadwiga 2,E,9 545,9 545,-,6 692,158
44,Jan Kanty,Z,232 028,161 076,70 952,-,-
45,Jan Kanty 1,R,49 595,36 126,13 469,-,-
46,Janina,E,"
1 445 291",551 227,894 064,357 019,2 333
47,Jankowice,E,617 758,495 893,121 865,88 726,2 866
48,Jas-Mos,E,216 790,180 190,36 600,59 239,1 909
49,Jaworzno,E,898 940,598 223,300 717,141 932,2 087
50,Jejkowice,"
P",309 502,-,309 502,-,-
51,Jowisz,Z,38 001,15 579,22 422,-,-
52,Julian,Z,8 168,7 727,441,-,-
53,Katowice,Z,116 785,92 162,24 623,-,-
54,"
Kazimierz-Juliusz",Z,93 522,85 212,8 310,-,-
55,Kazimierz-Juliusz 1,E,59 413,51 047,8 366,9 786,437
56,Kleofas,Z,169 084,124 614,44 470,-,-
57,Knurów,E,627 607,373 803,253 804,102 113,1 527
58,"
Kobiór-Pszczyna",P,3 063 506,-,3 063 506,-,-
59,Krupiński,E,739 383,455 983,283 400,31 695,2 174
60,Lędziny,R,140 586,65 721,74 865,-,-
61,LibiąŜ III,R,4 442,4 442,-,-,-
62,LibiąŜ-Dąb,R,11 371,2 570,8 801,-,-
63,LibiąŜ-Janina,R,12 865,6 252,6 613,-,-
64,"
Łaziska",E,199 688,93 368,106 320,39 140,1 561
65,Makoszowy,E,465 589,236 112,229 477,114 724,1 056
66,Marcel,E,247 635,220 795,26 840,58 553,2 600
68,Międzyrzecze,P,403 864,-,403 864,-,-
69,Mikołów,R,294 070,172 266,121 804,"
-",-
70,Modrzejów,R,46 505,26 796,19 709,-,-
71,Morcinek,Z,21 386,969,20 417,-,-
72,Morcinek 1,R,591 368,289 856,"
301 512",-,-
73,Moszczenica,Z,125 548,107 953,17 595,-,-
74,Murcki,E,514 973,401 146,113 827,114 043,1 240
75,Mysłowice,E,33 251,32 707,544,14 684,387
76,Niwka-Modrzejów,Z,113 676,107 678,5 998,-,-
77,Oświęcim-Polanka,R,1 863 474,-,"
1 863 474",-,-
78,Paruszowiec,R,348 020,160 572,187 448,-,-
79,ParyŜ,Z,47 741,38 986,8 755,-,-
80,Pawłowice - rej.,R,414 263,241 763,172 500,-,-
81,Pawłowice 1,R,304 003,282 329,21 674,79 990,-
82,Piast,E,952 575,"
920 600",31 975,199 863,4 204
83,Piekary,E,45 096,45 045,51,6 289,5
84,Pilchowice,P,150 900,-,150 900,-,-
85,Pniówek,E,589 923,"
416 034",173 889,42 708,2 574
86,Pokój,E,139 396,138 365,1 031,31 435,1 267
87,Polska-Wirek,Z,"
153 516",141 941,11 575,-,-
88,Porąbka-Klimontów,Z,53 120,42 092,11 028,-,-
89,Powstańców Śląskich,Z,32 271,28 529,3 742,-,-
90,Rozalia,Z,51 361,36 291,15 070,-,-
91,Rozbark,Z,"
82 020",77 341,4 679,-,-
92,Rydułtowy,E,184 626,88 333,96 293,92 770,1 857
93,Rymer,Z,120 868,31 705,89 163,-,-
94,Saturn,Z,61 074,28 651,32 423,-,-
95,Siemianowice,"
Z",44 765,35 918,8 847,-,-
96,"Siemianowice-
Szopienice I",Z,36 465,36 405,60,-,-
97,Siersza,Z,226 804,207 127,19 677,-,-
98,"
Silesia",E,505 175,326 562,178 613,128 926,499
99,Sosnowiec,Z,33 970,31 735,2 235,-,-
100,Sośnica,E,403 777,306 963,96 814,115 658,2 100
101,Spytkowice,P,662 614,-,662 614,-,-
102,"
Staszic",E,628 109,541 626,86 483,113 413,1 970
103,Studzienice,R,1 055 993,13 329,1 042 664,-,-
104,Studzionka-Mizerów,P,180 000,-,180 000,-,-
105,Sumina,P,300 000,-,300 000,-,-
106,Szczygłowice,E,632 230,396 608,235 622,120 665,1 662
107,Śląsk,E,149 369,127 509,21 860,28 470,851
108,"
Śląsk-Pole Panewnickie",E,114 266,109 503,4 763,11 512,86
109,Tenczynek,P,64 543,-,64 543,-,-
111,Wesoła,E,739 249,620 439,118 810,103 304,2 797
112,Wieczorek,E,118 838,112 860,5 978,"
28 977",1 227
113,Wisła I i Wisła II-1,E,546 630,171 465,375 165,34 077,132
114,Wisła I-Wisła II,P,822 766,-,822 766,-,-
115,Wisła-Północ,P,303 969,-,"
303 969",-,-
116,Wojkowice,Z,19 430,15 713,3 717,-,-
117,Wujek,E,112 372,88 003,24 369,11 073,268
118,Wujek-część południowa,R,253 428,142 464,110 964,-,-
119,Wujek-część Stara Ligota,E,93 804,82 698,11 106,43 705,771
120,Za rowem bełckim,P,342 502,-,"
342 502",-,-
121,Zabrze-Bielszowice,E,522 319,484 772,37 547,271 198,1 840
122,Zator,P,347 145,-,347 145,-,-
123,Zebrzydowice,P,108 439,-,108 439,-,-
124,Ziemowit,E,914 560,539 389,375 171,102 123,4 053
125,Zofiówka,E,401 154,"
314 513",86 641,101 458,1 566
126,ory,Z,153 256,60 348,92 908,-,-
127,ory-Suszec,R,1 288 591,66 226,1 222 365,-,-
128,ory-Warszowice,R,151 916,"
147 684",4 232,-,-
1,Bogdanka,E,798 909,667 715,131 194,313 555,6 658
2,Chełm II,P,1 034 514,-,1 034 514,-,-
3,Kolechowice Nowe,P,2 257 374,-,2 257 374,-,-
4,Lublin K-3,R,"
76 301",43 208,33 093,-,-
5,Lublin K-4-5,P,453 016,-,453 016,-,-
6,Lublin K-6-7,R,386 390,376 216,10 174,-,-
7,Lublin K-8,R,250 262,213 463,36 799,-,-
8,Lublin K-9,"
R",237 586,155 160,82 426,-,-
9,Orzechów (d. Łęczna),P,1 827 942,-,1 827 942,-,-
10,Ostrów,R,853 479,571 140,282 339,-,-
11,Sawin,P,1 083 685,-,1 083 685,-,-
